taxid,name,n,gc_mean,gc_stdev,length_mean,length_stdev
8811,Anomalopteryx didiformis,2,31.6,0.5656854249492386,1190345000,586898.6283848344
8928,Ciconia ciconia,1,41.4,,1255660000,
8954,Falco peregrinus,5,42.1668,0.4897808489518564,1190898000,73205933.98079148
8797,Rhea americana,1,40.2,,1160840000,
9796,Equus caballus,10,41.368939999999995,1.4070249932234868,2268328249,804039841.2090273
481459,Gasterosteus aculeatus aculeatus,1,44.6947,,471894000,
3055,Chlamydomonas reinhardtii,9,64.0343,0.19067253341789822,111885888.8888889,1664320.4652683663
8823,Apteryx haastii,1,40.8,,1221440000,
54971,Arenaria interpres,1,41.8,,1124620000,
8787,Casuarius casuarius,2,41.0,0.565685424949236,1206795000,3118340.905032675
8805,Eudromia elegans,2,41.5,0.4242640687119245,957217500,2407698.5899401945
81927,Vidua chalybeata,3,44.5767,4.4421164629036936,769629999.6666666,532408825.80593085
52775,Ciconia boyciana,3,41.8515,0.6631415761358957,1236723333.3333333,6783895.144629915
9103,Meleagris gallopavo,3,41.26253333333334,0.3051611104536982,1084126666.6666667,32137445.96780107
7245,Drosophila yakuba,6,41.56608333333333,1.4815541197224844,154560500,8776563.968888965
99883,Tetraodon nigroviridis,1,46.6,,342403000,
5478,Nakaseomyces glabratus,68,38.757600000000004,0.28439530508121774,12477498.529411765,356595.0763895483
28985,Kluyveromyces lactis,7,38.680014285714286,0.17794602579220017,10753128.57142857,112460.10721267216
4952,Yarrowia lipolytica,38,48.90289473684211,0.40670674071685053,19865798.315789472,3323337.1954398905
284592,Debaryomyces hansenii CBS767,3,36.64563333333333,0.5669984156356457,10748583.333333334,2059485.103328823
8022,Oncorhynchus mykiss,7,41.01481428571429,6.9796278629137465,1795311881.2857144,849442149.0595624
8128,Oreochromis niloticus,5,40.31422,0.7147986443747634,961992399.8,87916267.1665557
7998,Ictalurus punctatus,2,39.64175,0.15337146083936395,939966500,137211949.56890598
7240,Drosophila simulans,24,42.654225,0.4368183238412487,120418262.375,34910052.30574577
7226,Drosophila mauritiana,6,42.43228333333333,0.207993465442226,148936499.83333334,9978611.437519759
9598,Pan troglodytes,9,41.204,1.2897457995667205,2381391816.6666665,1346774700.531592
3708,Brassica napus,8,36.8192625,0.8531629134955897,911196500,97558783.46924996
4956,Zygosaccharomyces rouxii,8,39.4938625,0.327669140346957,15813907.5,5064132.448199508
559295,Lachancea thermotolerans CBS 6340,1,47.2838,,10392900,
870730,Ogataea angusta,11,49.46363636363636,0.06741998624632517,8884729.090909092,22505.824337066817
4920,Millerozyma farinosa,2,41.1,0.0,16001100,7430843.742133191
294747,Candida tropicalis MYA-3404,2,33.25,0.07071067811865073,14865100,332340.1871576773
34317,Eucalyptus globulus,1,39.3807,,545185000,
9544,Macaca mulatta,15,41.51099333333333,1.7497101692511687,2197960633.3333335,1358509837.092404
7070,Tribolium castaneum,2,33.31805,2.6463471285906564,203902500,53681425.50733913
7237,Drosophila pseudoobscura,7,44.4143,0.9554219643696712,107180571.42857143,65709713.223559126
13616,Monodelphis domestica,3,37.957033333333335,0.2302965551920652,3267203333.3333335,563126024.2905964
3555,Beta vulgaris subsp. vulgaris,317,35.75835899053628,0.6687051983499483,474011396.4258675,202890006.37887678
312017,Tetrahymena thermophila SB210,2,23.0,0.9899494936611656,130353500,38663891.688499235
67593,Phytophthora sojae,11,54.667500000000004,0.10134037694818417,84332400,999520.6010883418
9785,Loxodonta africana,10,39.84918,1.5175348348921374,3297205000,148073872.34830534
164328,Phytophthora ramorum,28,54.010714285714286,0.3695235026999222,46034925,9391951.55189035
42254,Sorex araneus,4,43.191024999999996,0.21117655133402805,2392845000,49434839.60393385
9365,Erinaceus europaeus,4,42.02425,0.41136226937660036,2355065000,434875325.3903161
3711,Brassica rapa,4,37.5383,0.592042132509731,370674750,54152944.17588638
45351,Nematostella vectensis,4,39.122949999999996,3.4835940219836172,278671000,53642263.580128685
10141,Cavia porcellus,2,39.7,0.565685424949241,2934370000,298611193.695079
79327,Schmidtea mediterranea,5,30.97076,1.7894118832733854,812362000,93095632.56941757
9315,Notamacropus eugenii,3,38.71543333333333,0.10351117492006777,2626916666.6666665,806086156.9542882
9371,Echinops telfairi,1,43.8,,2947120000,
9361,Dasypus novemcinctus,3,40.9332,0.11535670765066262,3499503333.3333335,178615833.09811404
